symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,backtest_version,generated_at_utc,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
QQQ,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:06.869707Z,11814.749215786402,2.7901693888269508,414.0,1629.3926875591278,10695.686245602048,12325.078933161176,1119.062970184353,21814.749215786396,12531.942517682659,2.9721746807457947,413.0,-717.1933018962573,-0.18200529191884396,1.0
QQQ,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:08.738512Z,12596.960699998484,2.9867590442589496,413.0,1072.800008211136,11632.170780699142,12704.970788910277,964.789919299343,22596.96069999849,12531.942517682659,2.9721746807457947,413.0,65.01818231582547,0.014584363513154841,0.0
QQQ,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:10.628850Z,12222.097387676184,2.8813288168113496,414.0,1222.0445156693459,11103.03441749183,12325.078933161176,1119.062970184353,22222.09738767618,12531.942517682659,2.9721746807457947,413.0,-309.8451300064753,-0.09084586393444516,1.0
QQQ,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:12.171140Z,1450.440210187175,1.7172454289561971,3.0,8.284993195533753,1485.1971683475726,1493.4821615431065,-34.756958160397744,11450.440210187175,12531.942517682659,2.9721746807457947,413.0,-11081.502307495484,-1.2549292517895976,-410.0
QQQ,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:13.987436Z,1450.440210187175,1.7172454289561971,3.0,8.284993195533753,1485.1971683475726,1493.4821615431065,-34.756958160397744,11450.440210187175,12531.942517682659,2.9721746807457947,413.0,-11081.502307495484,-1.2549292517895976,-410.0
QQQ,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:15.828952Z,1450.440210187175,1.7172454289561971,3.0,8.284993195533753,1485.1971683475726,1493.4821615431065,-34.756958160397744,11450.440210187175,12531.942517682659,2.9721746807457947,413.0,-11081.502307495484,-1.2549292517895976,-410.0
QQQ,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:17.929833Z,1450.440210187175,1.7172454289561971,3.0,8.284993195533753,1485.1971683475726,1493.4821615431065,-34.756958160397744,11450.440210187175,12531.942517682659,2.9721746807457947,413.0,-11081.502307495484,-1.2549292517895976,-410.0
SPY,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:19.602830Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
SPY,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:21.439037Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
SPY,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:17:23.342738Z,-223.5106327848795,-1.086252063092214,3.0,8.266000103950502,-312.3109009733568,-304.04490086940626,88.80026818847728,9776.489367215121,-223.5106327848795,-1.086252063092214,3.0,0.0,0.0,0.0
