symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,backtest_version,generated_at_utc,summary_signal_abs_gate,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
MSFT,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:11.552483Z,0.04,-4363.132760682334,-0.8289012415304208,856.0,2356.0649021148683,-8338.835487336439,-5982.770585221571,3975.702726654106,5636.867239317671,-3415.7515008563882,-0.6426392981580817,847.0,-947.381259825946,-0.18626194337233903,9.0
MSFT,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:13.571941Z,0.04,-2957.2525098729866,-0.5408292154285894,841.0,2314.8249377012253,-6262.682669064927,-3947.8577313637,3305.4301591919407,7042.747490127014,-3415.7515008563882,-0.6426392981580817,847.0,458.49899098340165,0.10181008272949232,-6.0
MSFT,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:15.499713Z,0.04,-3415.7515008563882,-0.6426392981580817,847.0,2331.287919306755,-7118.09573844494,-4786.8078191381865,3702.344237588554,6584.248499143614,-3415.7515008563882,-0.6426392981580817,847.0,0.0,0.0,0.0
MSFT,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:17.396601Z,0.04,-3415.7515008563882,-0.6426392981580817,847.0,2331.287919306755,-7118.09573844494,-4786.8078191381865,3702.344237588554,6584.248499143614,-3415.7515008563882,-0.6426392981580817,847.0,0.0,0.0,0.0
QQQ,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:19.215200Z,0.04,11632.679949658723,3.23875930742493,397.0,1093.7028537273409,10746.710119070925,11840.412972798265,885.9698305877972,21632.67994965872,11632.679949658723,3.23875930742493,397.0,0.0,0.0,0.0
QQQ,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:21.088398Z,0.04,12021.707708045604,3.3287478760129097,400.0,1101.9577053785324,11207.015327360154,12308.973032738686,814.6923806854523,22021.7077080456,11632.679949658723,3.23875930742493,397.0,389.02775838688103,0.08998856858797977,3.0
QQQ,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:23.371333Z,0.04,11632.679949658723,3.23875930742493,397.0,1093.7028537273409,10746.710119070925,11840.412972798265,885.9698305877972,21632.67994965872,11632.679949658723,3.23875930742493,397.0,0.0,0.0,0.0
QQQ,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:25.344128Z,0.04,11195.204885572406,3.1656427834424834,394.0,1085.4472810983657,10724.43009605821,11809.877377156577,470.77478951419437,21195.204885572402,11632.679949658723,3.23875930742493,397.0,-437.4750640863167,-0.0731165239824465,-3.0
QQQ,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:27.288505Z,0.04,11335.518960201789,3.0777330317238114,402.0,1107.0415260076525,10510.043283727759,11617.08480973541,825.4756764740291,21335.51896020179,11632.679949658723,3.23875930742493,397.0,-297.16098945693375,-0.1610262757011185,5.0
QQQ,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,0.04,vertical,1.0,True,True,True,5,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:21:29.219056Z,0.04,16624.877278808264,4.260309648446892,424.0,1167.6511014699936,16308.369243590952,17476.020345060944,316.5080352173169,26624.877278808264,11632.679949658723,3.23875930742493,397.0,4992.1973291495415,1.0215503410219622,27.0
