symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,device,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,total_pnl,daily_sharpe,trades,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
QQQ,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11951.274552377085,3.3810289118580052,405.0,11434.084679160063,3.2678218594631048,397.0,517.1898732170212,0.11320705239490048,8.0
QQQ,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11173.897514519296,3.2015262070641883,385.0,11434.084679160063,3.2678218594631048,397.0,-260.18716464076715,-0.06629565239891644,-12.0
QQQ,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,cpu,0.04,vertical,1.0,True,True,True,5,11434.084679160063,3.2678218594631048,397.0,11434.084679160063,3.2678218594631048,397.0,0.0,0.0,0.0
QQQ,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,cpu,0.04,vertical,1.0,True,True,True,5,11434.084679160063,3.2678218594631048,397.0,11434.084679160063,3.2678218594631048,397.0,0.0,0.0,0.0
SPY,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1926.213500154534,1.0119737587795008,398.0,1926.213500154534,1.0119737587795008,398.0,0.0,0.0,0.0
SPY,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1926.213500154534,1.0119737587795008,398.0,1926.213500154534,1.0119737587795008,398.0,0.0,0.0,0.0
SPY,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1964.0803135202086,1.0286547573009635,399.0,1926.213500154534,1.0119737587795008,398.0,37.866813365674716,0.016680998521462653,1.0
SPY,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1977.4163070148634,1.0441566647757108,399.0,1926.213500154534,1.0119737587795008,398.0,51.202806860329474,0.03218290599620999,1.0
SPY,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,2114.084565550069,1.1017525223267246,394.0,1926.213500154534,1.0119737587795008,398.0,187.87106539553497,0.0897787635472238,-4.0
SPY,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4680.32853954243,2.1684152565943084,410.0,1926.213500154534,1.0119737587795008,398.0,2754.115039387896,1.1564414978148077,12.0
SPY,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-126.3687013359347,0.041599695633014494,391.0,1926.213500154534,1.0119737587795008,398.0,-2052.582201490469,-0.9703740631464863,-7.0
SPY,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,2099.9240273294645,1.0934629298506562,399.0,1926.213500154534,1.0119737587795008,398.0,173.71052717493058,0.08148917107115539,1.0
SPY,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1456.6524347668083,0.7933502350005032,398.0,1926.213500154534,1.0119737587795008,398.0,-469.56106538772565,-0.21862352377899763,0.0
SPY,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1988.8216422062308,1.040993291698741,398.0,1926.213500154534,1.0119737587795008,398.0,62.60814205169686,0.0290195329192402,0.0
SPY,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1847.9533225899131,0.9756558443251754,398.0,1926.213500154534,1.0119737587795008,398.0,-78.26017756462079,-0.03631791445432542,0.0
SPY,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1668.172458072311,0.8932462079687662,400.0,1926.213500154534,1.0119737587795008,398.0,-258.04104208222293,-0.1187275508107346,2.0
SPY,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,1066.660600309829,0.6024944748408051,388.0,1926.213500154534,1.0119737587795008,398.0,-859.5528998447048,-0.4094792839386957,-10.0
SPY,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,cpu,0.04,vertical,1.0,True,True,True,5,1926.213500154534,1.0119737587795008,398.0,1926.213500154534,1.0119737587795008,398.0,0.0,0.0,0.0
SPY,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,cpu,0.04,vertical,1.0,True,True,True,5,1926.213500154534,1.0119737587795008,398.0,1926.213500154534,1.0119737587795008,398.0,0.0,0.0,0.0
